LADBS_ID,Address,Postal_Code,EBEWE_Compliance_Wave,EBEWE_Compliance_Date,Property_Type,Year_Built,Building_SQFT,LADBS_Building_Category,City_Owned,Energy_STAR_Score,Census_Tract_GEOID,Longitude,Latitude,CES_Score,CES_Score_Percentile,Disadvantaged_Community,AC_Opt,CDI,Site_EUI,Source_EUI,Total_Water_Use,Predicted_HVAC_Capacity_Tonnage_per_Unit,Predicted_HVAC_Units,Predicted_HVAC_Type,Predicted_Natural_Gas_Usage,Predicted_kwAmount,Basic_pred_energy_savings,Basic_pred_elec_savings,Basic_pred_gas_savings,Basic_pred_invest_cost,Mid_pred_energy_savings,Mid_pred_elec_savings,Mid_pred_gas_savings,Mid_pred_invest_cost,Adv1_pred_energy_savings,Adv1_pred_elec_savings,Adv1_pred_gas_savings,Adv1_pred_invest_cost,Adv2_pred_energy_savings,Adv2_pred_elec_savings,Adv2_pred_gas_savings,Adv2_pred_invest_cost
1.12217E+11,5841 W CARLTON WAY,90028,1,1-Dec-21,Multifamily Housing,2013,53275,"50,000 to 99,999",No,98,6037191000,-118.31717,34.100475,56.87015645,94.53903393,Yes,Eligible,,23,43.7,1359.2,0.18094,9,4,,,545.8003483,316.7756019,229.0250735,26409.82922,5097.190813,4511.967839,585.2228981,101103.3574,603.5821266,316.7776102,286.8043231,35231.83485,-3.578585851,-4.648981156,669.5961898,110835.0266
1.12217E+11,5949 N VAN NUYS BLVD,91411,2,1-Dec-22,Automobile Dealership,2016,53815,"50,000 to 99,999",No,,6037128400,-118.449,34.17892,50.87002861,89.69605247,Yes,,,48.4,135.5,953.8,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,3470 S MCCLINTOCK AVE,90089,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037222700,-118.28782,34.02378,39.32459371,74.95270526,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,12000 W IDAHO AVE,90025,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037267502,-118.46073,34.039185,25.78009736,51.34317064,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,9247 N VAN NUYS BLVD,91402,5,1-Dec-25,,,,"50,000 to 99,999",No,,6037119320,-118.45026,34.237972,41.04940974,77.48770337,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,19851 W NORDHOFF PL,91311,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037113303,-118.56583,34.235836,24.26743113,48.36675495,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,142 W SANTA CRUZ ST,90731,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037296210,-118.28082,33.74418,62.31470579,97.263211,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,4462 N WOODMAN AVE,91423,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037141101,-118.43122,34.152077,22.90061728,44.93630975,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,12020 W GUERIN ST,91604,4,1-Dec-24,,,,"50,000 to 99,999",No,,6037143602,-118.393,34.145844,24.25354408,48.32891916,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,11800 W FOOTHILL BLVD,91040,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037980021,-118.39313,34.273,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,700 N NORTH FARING ROAD,90077,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037262100,-118.43509,34.089275,14.48378453,23.69781814,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,1439 N POINSETTIA PL,90046,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037189902,-118.34834,34.096798,34.80901164,68.04136713,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,11925 W KLING ST,91607,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037143300,-118.392784,34.155815,20.4864426,39.55101526,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,14625 W MAGNOLIA BLVD,91403,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037128802,-118.4516,34.16486,27.06788086,54.02951192,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,855 N CROFT AVE,90069,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037194402,-118.37423,34.086273,16.53646578,29.17139614,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,2595 S HOOVER ST,90007,5,1-Dec-25,Multifamily Housing,2016,57347,"50,000 to 99,999",No,,6037221710,-118.28398,34.033234,44.67382907,82.36852062,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,4644 N COLDWATER CANYON AVE,91604,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037143400,-118.41377,34.15502,15.80561473,27.33005423,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,9640 N VAN NUYS BLVD,91402,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037119310,-118.45011,34.24544,24.7187016,49.35048556,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,940 S ELDEN AVE,90006,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037213401,-118.28773,34.053043,47.86688013,86.6061294,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,1726 N GOWER ST,90028,3,1-Dec-23,Multifamily Housing,2011,35845,"50,000 to 99,999",Yes,42,6037191000,-118.32237,34.102425,56.87015645,94.53903393,Yes,Eligible,,42.9,120.1,2455.1,0.205188,6,4,,,566.9260371,297.3264037,269.599372,24387.75895,3387.10374,2993.179937,393.9237524,93362.37241,640.2647919,297.3264115,342.9383893,32534.30716,-6.672144092,-8.668523361,828.6682341,102348.9357
1.12217E+11,1730 S SAWTELLE BLVD,90025,4,1-Dec-24,,,,"50,000 to 99,999",No,,6037267300,-118.44701,34.044857,37.0576717,71.81233447,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,3425 S MOTOR AVE,90034,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037269904,-118.40924,34.027325,27.49097812,54.82406356,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,10648 W WOODBRIDGE ST,91602,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037143100,-118.36314,34.148846,21.98373347,42.9562366,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,1318 S ROXBURY DR,90035,4,1-Dec-24,,,,"50,000 to 99,999",No,,6037269000,-118.40311,34.055458,12.37109222,18.60259806,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,505 S SAN PEDRO ST,90013,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037206300,-118.24404,34.04398,65.94105822,98.4487325,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,1902 W PARK AVE,90026,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037195720,-118.26145,34.076263,54.3015802,92.6094085,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,4211 S REDWOOD AVE,90292,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037275400,-118.438774,33.989384,22.2072335,43.42287804,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,12455 N SAN FERNANDO ROAD,91342,3,1-Dec-23,Multifamily Housing,2015,69095,"50,000 to 99,999",No,100,6037106648,-118.45617,34.296795,44.93219228,82.72165469,Yes,Eligible,,17.9,56.3,1791.6,0.193589,12,4,,,613.4310256,370.9594875,242.472156,28525.02215,6737.506866,5978.333374,759.1733943,109200.8391,672.7074525,370.9626241,301.7445319,38053.59214,-2.786305234,-3.619416281,694.5345669,119711.9286
1.12217E+11,20750 W SHERMAN WAY,91306,4,1-Dec-24,Multifamily Housing,2000,66739,"50,000 to 99,999",No,1,6037134002,-118.585205,34.20094,36.55699726,70.90427544,No,Eligible,,63.7,122.9,5973.8,0.375927,12,4,,,922.1490413,497.2110506,424.9377553,28781.25739,6557.950488,5823.693546,734.256848,110181.771,1036.984926,497.2117493,539.773141,38395.42085,-9.907951643,-12.8723156,1300.466854,120787.2797
1.12217E+11,5308 N SEPULVEDA BLVD,91411,4,1-Dec-24,,,,"50,000 to 99,999",No,,6037128801,-118.466156,34.166924,31.12732909,61.495775,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,2917 E 1ST ST,90033,5,1-Dec-25,Multifamily Housing,2014,71601,"50,000 to 99,999",No,92,6037204200,-118.20287,34.040657,53.19442535,91.72657334,Yes,Eligible,,22.6,47.9,2022,0.212235,12,4,,,662.6686701,395.7706629,266.8985711,28944.43603,7011.733821,6224.880946,786.8527739,110806.4591,728.9624882,395.7736975,333.1885089,38613.10809,-3.517260111,-4.569087346,772.4665993,121472.0971
1.12217E+11,15301 W LANARK ST,91406,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037127520,-118.46755,34.21759,42.29725361,79.26598562,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,13190 N BROMONT AVE,91342,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037106407,-118.43748,34.310524,31.21211442,61.64711817,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,600 S RIDGELEY DR,90036,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037215101,-118.35038,34.06469,17.35906007,31.30281246,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,4724 N KESTER AVE,91403,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037141303,-118.45742,34.15611,28.1030612,56.11048051,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,3630 W WATT WAY,90089,4,1-Dec-24,College/University,2012,92945,"50,000 to 99,999",No,,6037222700,-118.28758,34.020725,39.32459371,74.95270526,No,,,94,183.5,527.2,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,10878 W BLOOMFIELD ST,91602,5,1-Dec-25,,,,"50,000 to 99,999",No,,6037143200,-118.36726,34.149273,39.862354,75.72203304,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,3535 E WHITTIER BLVD,90023,5,1-Dec-25,Multifamily Housing,2014,76449,"50,000 to 99,999",No,100,6037204910,-118.197586,34.026295,60.11948012,96.46865935,Yes,Eligible,,12.8,25.4,846.8,0.191042,13,4,,,623.9977636,387.3391317,236.6594306,29518.12389,7517.995674,6678.008795,839.9867709,113002.6782,680.4508029,387.3429196,293.107527,39378.43209,-1.993621309,-2.589427058,667.2559849,123879.7124
1.12217E+11,11100 W RIVERSIDE DR,91602,1,1-Dec-21,Multifamily Housing,2017,105991,"50,000 to 99,999",No,,6037143200,-118.37265,34.152416,39.862354,75.72203304,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,5000 S MAIN ST,90037,2,1-Dec-22,Multifamily Housing,2016,79809,"50,000 to 99,999",No,89,6037229300,-118.27395,33.997353,62.19792274,97.17492748,Yes,Eligible,,31.1,59.5,5659.6,0.258238,14,4,,,774.3767481,456.1461646,318.2310929,30261.78756,7910.812401,7033.445824,877.3664639,115849.6066,855.048585,456.1492072,398.8991076,40370.51103,-4.839374894,-6.286761819,933.4538359,127000.6709
1.12217E+11,5015 N BALBOA BLVD,91316,4,1-Dec-24,,,,"50,000 to 99,999",No,,6037139600,-118.50109,34.161957,17.97474748,33.06848278,No,,,,,,,,,,,,,,,,,,,,,,,,,,
