"LADBS_ID","Address","Postal_Code","EBEWE_Compliance_Wave","EBEWE_Compliance_Date","Property_Type","Year_Built","Building_SQFT","LADBS_Building_Category","City_Owned","Energy_STAR_Score","Census_Tract_GEOID","Longitude","Latitude","CES_Score","CES_Score_Percentile","Disadvantaged_Community","AC_Opt","CDI","Site_EUI","Source_EUI","Total_Water_Use","Predicted_HVAC_Capacity_Tonnage_per_Unit","Predicted_HVAC_Units","Predicted_HVAC_Type","Predicted_Investment_Cost","Predicted_Energy_Cost_Savings","Predicted_Elecricity_Cost_Savings","Predicted_Natural_Gas_Cost_Savings","Predicted_Natural_Gas_Usage","Predicted_kwAmount","MID_pred_elec_savings","MID_pred_gas_savings","MID_pred_energy_savings","Adv1_pred_energy_savings","Adv1_pred_elec_savings","Adv1_pred_gas_savings","Adv2_pred_energy_savings","Adv2_pred_elec_savings","Adv2_pred_elec_savings.1","Predicted_Investment_Cost_Mid","Predicted_Investment_Cost_Advanced1","Predicted_Investment_Cost_Advanced2"
7548,"959 N SEWARD ST",90038,5,"December 1, 2025","Office",2015,250000,"100,000+","No",,6037191901,-118.33338,34.08878,43.442544948503,80.8298650523395,"Yes","Ineligible",,19.6,48.9,712.5,22.106004,,,117496.770613,,,,,,27460.512255535,2752.10896327736,30212.6215721249,,,,,,,449806.695115,156745.686771,493102.685111
7832,"21800 VICTORY BLVD",91367,2,"December 1, 2022","Supermarket/Grocery Store",2015,154626,"100,000+","No",86,6037135114,-118.602905,34.18748,37.7379730273309,72.7708412157901,"No",,,131,314.8,3763.8,,,,,,,,,,,,,,,,,,,,,
7903,"17720 W MAGNOLIA BLVD",91316,2,"December 1, 2022","Multifamily Housing",2015,56466,"50,000 to 99,999","No",85,6037139504,-118.51899,34.165367,36.8255030939235,71.4970361962417,"No","Eligible",,34,66.7,910.4,0.21974,10,4,26971.92391,644.872951100065,363.703499111028,281.169622092933,,,4820.6311361887,620.571837701501,5441.20305357049,717.879679905422,363.705130819839,354.174400102706,-5.28920391626661,-6.87148152791712,837.805651946881,103255.194942,35981.693069,113193.988508
8074,"200 S LOS ANGELES ST",90012,3,"December 1, 2023","Multifamily Housing",2013,123942,"100,000+","No",,6037206200,-118.24337,34.05022,65.2595952387712,98.2343296758734,"Yes",,,,,4146.9,,,,,,,,,,,,,,,,,,,,,
8468,"18452 W HALSTED ST",91325,5,"December 1, 2025",,,,"50,000 to 99,999","No",,6037115201,-118.53517,34.24456,21.8450726892248,42.7670576365242,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
9772,"4240 N LAUREL CANYON BLVD",91604,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037143602,-118.396454,34.147366,24.2535440775009,48.328919157523,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
10353,"710 N EL CENTRO AVE",90038,2,"December 1, 2022","Multifamily Housing",2015,80000,"100,000+","No",94,6037191820,-118.32442,34.083733,48.4748882838827,87.2619498045151,"Yes","Eligible",,33.9,50.7,1303.1,0.269696,14,4,30328.680251,795.362513294352,465.297826031747,330.065148576925,,,7056.39014736963,879.530098003501,7935.92035844365,879.588907775176,465.300737426742,414.287914747622,-5.27477535157619,-6.85245804700262,972.382843083652,116105.688351,40459.748724,127281.401776
10412,"959 N SEWARD ST",90038,2,"December 1, 2022",,,,"100,000+","No",,6037191901,-118.33317,34.08831,43.442544948503,80.8298650523395,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
10713,"1411 N HIGHLAND AVE",90028,2,"December 1, 2022","Multifamily Housing",2017,136899,"50,000 to 99,999","No",74,6037190100,-118.338646,34.096554,44.7187878816012,82.4441922058267,"Yes","Eligible",,23.4,65.5,2357.9,0.342147,23,4,39702.389013,1044.44512287301,662.19821515452,382.248168997383,,,13040.9821097165,1505.71267151035,14546.6949749993,1139.3493674882,662.204445731229,477.144433806099,-3.64476834656769,-4.73398508945522,1106.57796279885,151990.563632,52964.674688,166620.363485
11526,"14500 W SHERMAN CIR",91405,4,"December 1, 2024","Multifamily Housing",2016,447146,"100,000+","No",100,6037127803,-118.449265,34.19972,48.8758845613732,87.7664270399798,"Yes","Eligible",,17.6,46.2,5256.2,0.202723,71,4,138818.315879,1715.56793721133,1437.02522139997,278.545205205034,,,60548.3517892499,4929.0184394224,65477.3708579242,1839.06405084117,1437.03968225809,402.024924748907,-2.75766597701835,-3.57775635377275,1229.89054462388,531430.84326,185189.534533,582583.537791
11687,"5110 S CRENSHAW BLVD",90043,4,"December 1, 2024",,,,"50,000 to 99,999","No",,6037234501,-118.33056,33.996212,46.2108861806457,84.4999369403456,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
12776,"5806 W HAROLD WAY",90028,4,"December 1, 2024",,,,"50,000 to 99,999","No",,6037191000,-118.31607,34.099285,56.8701564470128,94.5390339260941,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
12831,"685 S NEW HAMPSHIRE AVE",90005,1,"December 1, 2021","Multifamily Housing",2016,112785,"100,000+","No",95,6037212303,-118.2929,34.060413,37.8118372337006,72.8843485937697,"No","Eligible",,40.8,83.7,1603.1,0.382173,19,4,35687.132151,1037.75114327895,620.472721444667,417.279126365441,,,10421.4924282489,1240.56474746487,11662.0573351475,1144.80880915503,620.47694259918,524.331533835667,-6.34926588705926,-8.24811489646422,1233.94040231982,136619.167381,47608.151346,149769.398733
12985,"1540 N VINE ST",90028,3,"December 1, 2023","Multifamily Housing",2016,1e+05,"100,000+","No",,6037191000,-118.32665,34.098755,56.8701564470128,94.5390339260941,"Yes","Eligible",,13.9,43.6,2599.9,0.233694,17,4,33146.758444,774.39490591638,488.845044447018,285.550911769845,,,9039.52587883825,1099.22344535149,10138.7494658589,842.789810281858,488.849992310848,353.939378326632,-2.1657898504333,-2.81284156621591,807.380941737633,126893.98859,44219.184829,139108.126175
14234,"1616 N LA BREA AVE",90028,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037190100,-118.344795,34.100285,44.7187878816012,82.4441922058267,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
14433,"733 N HUDSON AVE",90038,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037191820,-118.33207,34.08412,48.4748882838827,87.2619498045151,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
15794,"688 S BERENDO ST",90005,3,"December 1, 2023","Multifamily Housing",2014,105455,"50,000 to 99,999","No",,6037212303,-118.294136,34.06022,37.8118372337006,72.8843485937697,"No","Eligible",,32.8,66.7,3079,0.322368,18,4,34325.566596,939.617827403427,567.280480659355,372.338116716957,,,9635.16056973813,1159.69040847099,10794.8511273652,1033.73022420145,567.28474660833,466.445123464433,-5.10494138696264,-6.63149990606997,1090.24764426223,131406.757718,45791.765015,144055.270356
16155,"1157 S BUNDY DR",90049,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037262302,-118.482285,34.080353,4.69682714004463,2.73678900239627,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
16379,"20600 W VENTURA BLVD",91364,5,"December 1, 2025",,,,"100,000+","No",,6037137501,-118.58181,34.16743,25.8933113591623,51.5954092571573,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
16807,"5311 S CRENSHAW BLVD",90043,4,"December 1, 2024",,,,"50,000 to 99,999","No",,6037234600,-118.33102,33.99395,45.049155425247,82.8856097868584,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
17821,"1901 W 6TH ST",90057,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037208903,-118.272575,34.058525,47.5250890278245,86.240383402699,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
20008,"748 N WILCOX AVE",90038,5,"December 1, 2025",,,,"50,000 to 99,999","No",,6037191820,-118.330956,34.08438,48.4748882838827,87.2619498045151,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
20402,"889 S FRANCISCO ST",90017,2,"December 1, 2022",,,,"100,000+","No",,6037207710,-118.263794,34.047577,33.0842537244402,65.0649514440661,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
20589,"3526 N MARMION WAY",90065,5,"December 1, 2025","Multifamily Housing",2016,55931,"50,000 to 99,999","No",81,6037199000,-118.21519,34.08652,61.1912037617053,96.7461218312524,"Yes","Eligible",,25.9,54.1,2969.3,0.193723,10,4,26801.077568,584.039000704549,337.202673172713,246.836636571051,,,4759.2710907248,614.507488327439,5373.77865807566,646.750237190861,337.204683656803,309.54536287908,-4.02965342904643,-5.23500403405638,724.995715359235,102601.152898,35753.776787,112476.991869
20871,"1026 S BROADWAY",90015,1,"December 1, 2021",,,,"100,000+","No",,6037207900,-118.25788,34.040504,35.3254062573553,69.0503216042376,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
21780,"681 S BONNIE BRAE ST",90057,1,"December 1, 2021","Multifamily Housing",2012,68659,"100,000+","No",60,6037208902,-118.27419,34.05598,44.045290587021,81.6118047673099,"Yes","Eligible",,51,104.6,11.3,0.316243,12,4,28891.977405,844.696977116866,467.693199036001,377.003794884594,,,5986.70730748286,755.104247641031,6741.81165189241,944.738530488895,467.694642466654,477.04377462233,-7.93323230571142,-10.3066188011215,1139.78140324831,110605.634555,38543.126052,121251.942178
23535,"807 N HUDSON AVE",90038,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037191820,-118.33207,34.085533,48.4748882838827,87.2619498045151,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
23706,"222 S MAIN ST",90012,4,"December 1, 2024",,,,"100,000+","No",,6037207302,-118.24488,34.050606,50.0944864951898,88.9141127506621,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
352086,"1125 S BOYLE AVE",90023,4,"December 1, 2024",,,,"50,000 to 99,999","No",,6037206050,-118.22033,34.03018,79.0252930058675,99.899104552907,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100358,"311 S GRAMERCY PL",90020,5,"December 1, 2025",,,,"50,000 to 99,999","No",,6037211703,-118.312836,34.068653,36.4096380582421,70.6646487577248,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100365,"14655 W BLYTHE ST",91402,3,"December 1, 2023","Multifamily Housing",2011,54014,"50,000 to 99,999","No",,6037120030,-118.45197,34.215218,51.3461075554974,90.2131416319839,"Yes","Eligible",,30.9,64,2268.8,0.205034,10,4,26603.312292,606.610771157846,343.598245337839,263.012720321493,,,4591.27979726495,593.526996161508,5184.80686966504,674.545903957674,343.599896541728,330.945853660622,-4.80704667411542,-6.24506268597299,780.978375255459,101844.058513,35489.949502,111647.023623
112217100367,"1053 S NEW HAMPSHIRE AVE",90006,4,"December 1, 2024","Multifamily Housing",2014,61115,"50,000 to 99,999","No",76,6037213320,-118.29266,34.051723,47.3267818823401,85.8620254761004,"Yes","Eligible",,31.7,62.8,2736.4,0.221591,11,4,27580.874257,659.286809680194,377.327472096745,281.959607950297,,,5247.45009105927,671.671242213526,5919.12141958102,731.759108816421,377.329477223777,354.429447509112,-4.93178248669458,-6.40704337347095,834.55006745381,105586.407468,36794.058719,115749.5911
112217100370,"1800 N WHITLEY AVE",90028,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037190202,-118.333336,34.10351,39.1722098037299,74.7004666414428,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100379,"979 S SERRANO AVE",90006,5,"December 1, 2025",,,,"50,000 to 99,999","No",,6037213201,-118.30633,34.053356,45.0954204241306,82.9738933030647,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100381,"5841 W CARLTON WAY",90028,1,"December 1, 2021","Multifamily Housing",2013,53275,"50,000 to 99,999","No",98,6037191000,-118.31717,34.100475,56.8701564470128,94.5390339260941,"Yes","Eligible",,23,43.7,1359.2,0.18094,9,4,26409.829215,545.800348259245,316.775601907348,229.025073512546,,,4511.96783919179,585.222898051857,5097.19081253312,603.582126596977,316.777610194775,286.804323143122,-3.57858585135213,-4.64898115642468,669.596189822371,101103.357446,35231.834852,110835.026627
112217100382,"5949 N VAN NUYS BLVD",91411,2,"December 1, 2022","Automobile Dealership",2016,53815,"50,000 to 99,999","No",,6037128400,-118.449,34.17892,50.8700286108134,89.6960524656325,"Yes",,,48.4,135.5,953.8,,,,,,,,,,,,,,,,,,,,,
112217100383,"3470 S MCCLINTOCK AVE",90089,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037222700,-118.28782,34.02378,39.3245937098118,74.9527052591752,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100384,"12000 W IDAHO AVE",90025,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037267502,-118.46073,34.039185,25.7800973562157,51.3431706394249,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100389,"9247 N VAN NUYS BLVD",91402,5,"December 1, 2025",,,,"50,000 to 99,999","No",,6037119320,-118.45026,34.237972,41.0494097383936,77.4877033673855,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100390,"19851 W NORDHOFF PL",91311,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037113303,-118.56583,34.235836,24.2674311313876,48.3667549501829,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100392,"142 W SANTA CRUZ ST",90731,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037296210,-118.28082,33.74418,62.3147057943997,97.2632109976037,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100395,"4462 N WOODMAN AVE",91423,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037141101,-118.43122,34.152077,22.9006172764008,44.9363097490226,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100397,"12020 W GUERIN ST",91604,4,"December 1, 2024",,,,"50,000 to 99,999","No",,6037143602,-118.393,34.145844,24.2535440775009,48.328919157523,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100401,"11800 W FOOTHILL BLVD",91040,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037980021,-118.39313,34.273,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100403,"700 N NORTH FARING ROAD",90077,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037262100,-118.43509,34.089275,14.483784527417,23.6978181359566,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100405,"1439 N POINSETTIA PL",90046,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037189902,-118.34834,34.096798,34.8090116356224,68.0413671333081,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100412,"11925 W KLING ST",91607,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037143300,-118.392784,34.155815,20.4864426040923,39.5510152604364,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100413,"14625 W MAGNOLIA BLVD",91403,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037128802,-118.4516,34.16486,27.0678808588002,54.0295119182747,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100415,"855 N CROFT AVE",90069,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037194402,-118.37423,34.086273,16.5364657797384,29.1713961407492,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100419,"2595 S HOOVER ST",90007,5,"December 1, 2025","Multifamily Housing",2016,57347,"50,000 to 99,999","No",,6037221710,-118.28398,34.033234,44.6738290666843,82.368520620507,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100424,"4644 N COLDWATER CANYON AVE",91604,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037143400,-118.41377,34.15502,15.8056147254111,27.3300542313028,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100431,"9640 N VAN NUYS BLVD",91402,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037119310,-118.45011,34.24544,24.7187015979214,49.3504855593391,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100444,"940 S ELDEN AVE",90006,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037213401,-118.28773,34.053043,47.8668801278936,86.6061293984109,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100445,"1726 N GOWER ST",90028,3,"December 1, 2023","Multifamily Housing",2011,35845,"50,000 to 99,999","Yes",42,6037191000,-118.32237,34.102425,56.8701564470128,94.5390339260941,"Yes","Eligible",,42.9,120.1,2455.1,0.205188,6,4,24387.75895,566.926037073841,297.326403739312,269.599372041065,,,2993.17993688596,393.923752402417,3387.10373956857,640.264791935574,297.326411518285,342.938389288837,-6.6721440923011,-8.66852336061346,828.668234145635,93362.372407,32534.30716,102348.935714
112217100447,"1730 S SAWTELLE BLVD",90025,4,"December 1, 2024",,,,"50,000 to 99,999","No",,6037267300,-118.44701,34.044857,37.0576717011107,71.8123344684071,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100451,"3425 S MOTOR AVE",90034,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037269904,-118.40924,34.027325,27.4909781154351,54.8240635641317,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100455,"10648 W WOODBRIDGE ST",91602,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037143100,-118.36314,34.148846,21.9837334708907,42.9562365998234,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100457,"1318 S ROXBURY DR",90035,4,"December 1, 2024",,,,"50,000 to 99,999","No",,6037269000,-118.40311,34.055458,12.3710922227977,18.6025980577626,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100460,"505 S SAN PEDRO ST",90013,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037206300,-118.24404,34.04398,65.9410582222724,98.4487325009459,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100461,"1902 W PARK AVE",90026,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037195720,-118.26145,34.076263,54.3015801967066,92.6094085004414,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100464,"4211 S REDWOOD AVE",90292,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037275400,-118.438774,33.989384,22.2072334974513,43.4228780426283,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100465,"12455 N SAN FERNANDO ROAD",91342,3,"December 1, 2023","Multifamily Housing",2015,69095,"50,000 to 99,999","No",100,6037106648,-118.45617,34.296795,44.9321922798016,82.7216546853323,"Yes","Eligible",,17.9,56.3,1791.6,0.193589,12,4,28525.022146,613.431025621001,370.959487466375,242.472155962551,,,5978.33337414252,759.17339431246,6737.50686626141,672.707452460038,370.962624080365,301.744531943734,-2.7863052342941,-3.61941628112957,694.534566867042,109200.839077,38053.592139,119711.928591
112217100466,"20750 W SHERMAN WAY",91306,4,"December 1, 2024","Multifamily Housing",2000,66739,"50,000 to 99,999","No",1,6037134002,-118.585205,34.20094,36.5569972595481,70.9042754445706,"No","Eligible",,63.7,122.9,5973.8,0.375927,12,4,28781.257391,922.149041336153,497.211050607621,424.937755337462,,,5823.69354628207,734.256847956332,6557.95048812195,1036.98492558496,497.21174931323,539.773141040227,-9.9079516429769,-12.8723156011449,1300.46685434918,110181.77096,38395.420847,120787.279737
112217100467,"5308 N SEPULVEDA BLVD",91411,4,"December 1, 2024",,,,"50,000 to 99,999","No",,6037128801,-118.466156,34.166924,31.1273290858901,61.495775003153,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100468,"2917 E 1ST ST",90033,5,"December 1, 2025","Multifamily Housing",2014,71601,"50,000 to 99,999","No",92,6037204200,-118.20287,34.040657,53.1944253458647,91.7265733383781,"Yes","Eligible",,22.6,47.9,2022,0.212235,12,4,28944.436027,662.668670118241,395.770662863298,266.898571095918,,,6224.88094581815,786.852773858842,7011.7338209789,728.962488181725,395.773697455996,333.188508896188,-3.51726011077011,-4.56908734632572,772.466599301545,110806.459134,38613.108085,121472.097059
112217100472,"15301 W LANARK ST",91406,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037127520,-118.46755,34.21759,42.2972536102346,79.2659856223988,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100473,"13190 N BROMONT AVE",91342,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037106407,-118.43748,34.310524,31.2121144175607,61.6471181737924,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100475,"600 S RIDGELEY DR",90036,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037215101,-118.35038,34.06469,17.3590600699777,31.3028124605877,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
112217100481,"4724 N KESTER AVE",91403,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037141303,-118.45742,34.15611,28.1030611989733,56.1104805145668,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
